t_to_trip_s,wm_hat_hz,iq,iq_shed
-7.04,44.2,41.886,0.9999
-7.0,43.254,42.004,0.9999
-6.96,42.948,43.286,0.9999
-6.92,43.762,41.888,0.9999
-6.88,43.472,42.076,0.9999
-6.84,43.614,42.544,0.9999
-6.8,43.722,44.296,0.9999
-6.76,44.068,41.05,0.9999
-6.72,42.262,44.362,0.9999
-6.68,43.408,43.584,0.9999
-6.64,43.618,41.394,0.9999
-6.6,43.974,41.582,0.9999
-6.56,44.464,42.38,0.9999
-6.52,43.262,42.73,0.9999
-6.48,44.376,40.88,0.9999
-6.44,45.272,40.914,0.9999
-6.4,43.954,41.824,0.9999
-6.36,44.242,41.644,0.9999
-6.32,45.998,40.244,0.9999
-6.28,44.018,41.952,0.9999
-6.24,43.01,43.872,0.9999
-6.2,43.8,42.76,0.9999
-6.16,43.638,42.584,0.9999
-6.12,43.208,42.234,0.9999
-6.08,43.552,42.662,0.9999
-6.04,43.738,42.698,0.9999
-6.0,43.66,40.776,0.9999
-5.96,43.302,42.92,0.9999
-5.92,43.58,42.692,0.9999
-5.88,42.678,44.038,0.9999
-5.84,44.112,41.488,0.9999
-5.8,43.282,43.786,0.9999
-5.76,42.856,43.59,0.9999
-5.72,43.932,41.806,0.9999
-5.68,43.99,42.682,0.9999
-5.64,42.37,43.76,0.9999
-5.6,43.77,42.354,0.9999
-5.56,45.602,40.738,0.9999
-5.52,43.892,42.402,0.9999
-5.48,43.554,42.492,0.9999
-5.44,45.39,40.18,0.9999
-5.4,44.624,40.864,0.9999
-5.36,43.582,42.42,0.9999
-5.32,45.414,40.892,0.9999
-5.28,44.654,41.278,0.9999
-5.24,43.466,43.278,0.9999
-5.2,43.846,43.514,0.9999
-5.16,43.722,42.7,0.9999
-5.12,43.056,42.586,0.9999
-5.08,44.478,41.302,0.9999
-5.04,43.91,42.886,0.9999
-5.0,43.08,42.572,0.9999
-4.96,43.904,42.172,0.9999
-4.92,43.76,42.046,0.9999
-4.88,41.874,44.832,0.9999
-4.84,43.822,42.136,0.9999
-4.8,44.612,41.568,0.9999
-4.76,42.462,44.706,0.9999
-4.72,43.05,43.454,0.9999
-4.68,44.722,41.286,0.9999
-4.64,43.37,42.208,0.9999
-4.6,43.368,43.194,0.9999
-4.56,45.38,40.774,0.9999
-4.52,44.496,40.304,0.9999
-4.48,43.63,41.73,0.9999
-4.44,44.454,41.678,0.9999
-4.4,44.92,40.286,0.9999
-4.36,44.218,41.096,0.9999
-4.32,44.646,42.546,0.9999
-4.28,44.224,42.516,0.9999
-4.24,43.44,42.602,0.9999
-4.2,43.534,43.06,0.9999
-4.16,43.56,43.384,0.9999
-4.12,42.776,42.88,0.9999
-4.08,42.806,39.424,0.9999
-4.04,42.372,39.556,0.8714
-4.0,41.07,38.968,0.8776
-3.96,41.178,37.356,0.8857
-3.92,41.66,36.972,0.8963
-3.88,38.59,20.82,0.5207
-3.84,34.916,17.848,0.4182
-3.8,31.334,19.458,0.4222
-3.76,30.646,18.66,0.4284
-3.72,31.506,16.014,0.4358
-3.68,30.64,17.752,0.4434
-3.64,30.186,17.386,0.4509
-3.6,30.164,18.458,0.4583
-3.56,30.752,16.55,0.4652
-3.52,30.262,18.776,0.4708
-3.48,30.792,16.978,0.4744
-3.44,31.066,17.808,0.4771
-3.4,30.97,18.266,0.4765
-3.36,30.996,18.43,0.4741
-3.32,30.13,20.224,0.4754
-3.28,31.702,18.874,0.4768
-3.24,31.656,18.004,0.4725
-3.2,30.468,18.716,0.4748
-3.16,31.028,19.448,0.4771
-3.12,31.522,18.332,0.4763
-3.08,31.78,16.546,0.4769
-3.04,31.336,17.336,0.4733
-3.0,30.86,20.176,0.4736
-2.96,31.206,18.934,0.4747
-2.92,31.596,17.298,0.476
-2.88,32.3,16.73,0.4732
-2.84,31.104,18.934,0.4739
-2.8,30.976,19.136,0.4751
-2.76,31.162,18.392,0.4761
-2.72,32.424,16.154,0.4731
-2.68,31.42,17.778,0.4732
-2.64,30.64,18.992,0.4746
-2.6,31.898,18.256,0.4759
-2.56,32.268,16.794,0.4745
-2.52,31.266,17.318,0.4697
-2.48,31.008,19.052,0.4723
-2.44,31.222,18.438,0.4751
-2.4,31.898,17.418,0.4771
-2.36,31.306,18.226,0.4742
-2.32,31.114,18.82,0.4745
-2.28,31.806,17.772,0.4737
-2.24,31.262,17.632,0.4752
-2.2,32.24,17.308,0.4769
-2.16,31.468,18.722,0.4759
-2.12,31.102,17.776,0.473
-2.08,31.694,18.198,0.4736
-2.04,31.754,17.812,0.475
-2.0,31.536,18.418,0.4765
-1.96,31.418,17.08,0.4737
-1.92,31.336,19.576,0.4699
-1.88,31.542,18.586,0.4723
-1.84,30.984,18.064,0.475
-1.8,32.27,16.668,0.4769
-1.76,31.298,18.772,0.4723
-1.72,30.842,19.182,0.472
-1.68,31.192,18.062,0.4741
-1.64,32.23,16.196,0.476
-1.6,31.262,18.126,0.477
-1.56,30.71,18.844,0.47
-1.52,31.81,18.212,0.4723
-1.48,31.986,16.158,0.4748
-1.44,31.48,17.484,0.4771
-1.4,30.84,19.878,0.4762
-1.36,31.434,18.314,0.4704
-1.32,32.042,16.514,0.4725
-1.28,31.198,17.776,0.4748
-1.24,31.046,19.634,0.4768
-1.2,31.698,18.28,0.4716
-1.16,31.422,17.312,0.4707
-1.12,32.14,17.722,0.4734
-1.08,31.146,18.488,0.4762
-1.04,31.182,17.868,0.477
-1.0,31.514,18.112,0.4701
-0.96,31.694,17.448,0.4726
-0.92,31.018,18.724,0.4752
-0.88,30.978,18.144,0.4764
-0.84,31.808,18.962,0.4752
-0.8,31.944,18.038,0.4714
-0.76,30.83,18.43,0.4732
-0.72,31.578,18.046,0.4754
-0.68,31.604,18.018,0.4769
-0.64,31.512,18.25,0.4755
-0.6,31.416,18.276,0.4742
-0.56,31.42,17.736,0.4759
-0.52,31.668,17.974,0.4766
-0.48,31.148,18.648,0.4742
-0.44,31.728,18.528,0.4739
-0.4,31.89,17.29,0.4732
-0.36,31.168,17.142,0.4752
-0.32,31.288,19.296,0.4771
-0.28,31.438,18.97,0.4783
-0.24,31.662,17.114,0.4766
-0.2,31.514,17.314,0.4707
-0.16,30.796,20.224,0.4723
-0.12,31.312,18.552,0.4743
-0.08,31.57,16.91,0.4765
-0.04,32.19,17.83,0.4763
0.0,30.972,19.132,0.4712
