iso,t_s,vDcInst,iq,i_trk_err
11:02:04.614,1789372924.614,475.53,42.8,7.914
11:02:04.615,1789372924.616,476.26,42.004,8.478
11:02:04.617,1789372924.617,476.98,42.254,8.858
11:02:04.618,1789372924.619,476.26,43.56,7.124
11:02:04.620,1789372924.621,475.78,41.876,8.99
11:02:04.622,1789372924.622,475.78,42.556,8.068
11:02:04.623,1789372924.624,476.98,41.79,8.932
11:02:04.625,1789372924.625,476.98,43.09,7.452
11:02:04.626,1789372924.627,476.02,42.706,7.932
11:02:04.628,1789372924.629,475.78,42.586,7.924
11:02:04.630,1789372924.63,475.29,43.164,7.578
11:02:04.631,1789372924.632,475.78,43.472,7.236
11:02:04.633,1789372924.633,475.29,44.416,6.19
11:02:04.634,1789372924.635,475.53,42.894,7.874
11:02:04.636,1789372924.637,475.78,42.28,8.248
11:02:04.638,1789372924.638,476.5,40.524,10.116
11:02:04.639,1789372924.64,476.02,41.366,9.202
11:02:04.641,1789372924.641,475.78,40.656,10.072
11:02:04.642,1789372924.643,475.29,42.798,7.898
11:02:04.644,1789372924.645,475.53,41.848,8.964
11:02:04.646,1789372924.646,475.78,43.262,7.578
11:02:04.647,1789372924.648,476.02,42.028,8.562
11:02:04.649,1789372924.649,476.02,40.892,9.996
11:02:04.650,1789372924.651,475.05,42.326,8.324
11:02:04.652,1789372924.653,475.05,40.304,10.504
11:02:04.654,1789372924.654,475.29,42.348,8.418
11:02:04.655,1789372924.656,475.53,41.482,9.398
11:02:04.657,1789372924.657,475.53,43.148,7.79
11:02:04.658,1789372924.659,476.5,42.394,8.178
11:02:04.660,1789372924.661,476.98,42.16,9.046
11:02:04.662,1789372924.662,475.78,44.398,6.39
11:02:04.663,1789372924.664,475.53,41.436,9.448
11:02:04.665,1789372924.665,475.53,42.942,7.772
11:02:04.666,1789372924.667,476.26,42.358,8.43
11:02:04.668,1789372924.669,476.02,43.2,7.35
11:02:04.670,1789372924.67,476.02,43.008,7.558
11:02:04.671,1789372924.672,476.02,43.112,7.434
11:02:04.673,1789372924.673,475.29,43.5,7.102
11:02:04.674,1789372924.675,475.53,43.67,7.024
11:02:04.676,1789372924.677,475.78,44.08,6.604
11:02:04.678,1789372924.678,475.29,42.986,7.654
11:02:04.679,1789372924.68,475.53,43.404,7.036
11:02:04.681,1789372924.681,475.29,42.03,8.608
11:02:04.682,1789372924.683,475.05,42.418,8.142
11:02:04.684,1789372924.685,474.57,41.756,8.918
11:02:04.686,1789372924.686,474.57,43.2,7.434
11:02:04.687,1789372924.688,475.05,41.94,8.682
11:02:04.689,1789372924.689,475.78,42.578,8.332
11:02:04.690,1789372924.691,476.26,42.008,8.494
11:02:04.692,1789372924.693,475.78,40.644,9.968
11:02:04.694,1789372924.694,475.29,41.71,8.872
11:02:04.695,1789372924.696,475.29,40.424,10.396
11:02:04.697,1789372924.697,475.29,42.186,8.502
11:02:04.698,1789372924.699,475.53,41.414,9.28
11:02:04.700,1789372924.701,476.02,43.038,8.014
11:02:04.702,1789372924.702,476.5,41.932,8.498
11:02:04.703,1789372924.704,477.23,41.724,9.26
11:02:04.705,1789372924.705,476.02,44.19,6.312
11:02:04.706,1789372924.707,475.29,40.946,9.718
11:02:04.708,1789372924.709,475.53,42.644,7.93
11:02:04.710,1789372924.71,476.5,41.876,8.766
11:02:04.711,1789372924.712,476.5,43.21,7.286
11:02:04.713,1789372924.713,476.26,43.426,6.956
11:02:04.714,1789372924.715,476.02,43.284,7.346
11:02:04.716,1789372924.717,475.05,44.046,6.346
