iso,t_s,wm_hat_hz,iq,iq_shed
14:54:42.476,1789386882.477,43.446,32.67,1.0
14:54:42.516,1789386882.517,41.354,35.076,1.0
14:54:42.556,1789386882.557,41.572,34.35,1.0
14:54:42.596,1789386882.597,41.052,35.576,1.0
14:54:42.636,1789386882.637,41.812,36.084,1.0
14:54:42.676,1789386882.677,42.678,33.19,1.0
14:54:42.716,1789386882.717,42.028,34.432,1.0
14:54:42.756,1789386882.757,42.2,33.476,1.0
14:54:42.796,1789386882.797,41.412,35.438,1.0
14:54:42.836,1789386882.837,40.894,36.196,1.0
14:54:42.876,1789386882.877,42.606,33.906,1.0
14:54:42.916,1789386882.917,42.206,34.258,1.0
14:54:42.956,1789386882.957,41.804,33.954,1.0
14:54:42.996,1789386882.997,41.246,34.844,1.0
14:54:43.036,1789386883.037,41.03,35.638,1.0
14:54:43.076,1789386883.077,42.7,34.73,1.0
14:54:43.116,1789386883.117,41.69,33.746,1.0
14:54:43.156,1789386883.157,42.338,33.018,1.0
14:54:43.196,1789386883.197,41.284,34.752,1.0
14:54:43.236,1789386883.237,42.482,34.216,1.0
14:54:43.276,1789386883.277,40.972,35.074,1.0
14:54:43.316,1789386883.317,42.418,32.716,1.0
14:54:43.356,1789386883.357,42.092,33.676,1.0
14:54:43.396,1789386883.397,41.468,35.55,1.0
14:54:43.436,1789386883.437,41.416,33.694,1.0
14:54:43.476,1789386883.477,41.572,34.766,1.0
14:54:43.516,1789386883.517,41.66,34.186,1.0
14:54:43.556,1789386883.557,41.63,34.322,1.0
14:54:43.596,1789386883.597,41.228,34.98,1.0
14:54:43.636,1789386883.637,41.686,33.63,1.0
14:54:43.676,1789386883.677,42.04,35.218,1.0
14:54:43.716,1789386883.717,40.678,35.658,1.0
14:54:43.756,1789386883.757,42.826,32.364,1.0
14:54:43.796,1789386883.797,41.504,34.054,1.0
14:54:43.836,1789386883.837,41.426,35.352,1.0
14:54:43.876,1789386883.877,41.382,35.0,1.0
14:54:43.916,1789386883.917,41.924,34.208,1.0
14:54:43.956,1789386883.957,42.148,33.386,1.0
14:54:43.996,1789386883.997,41.436,35.116,1.0
14:54:44.036,1789386884.037,40.832,35.752,1.0
14:54:44.076,1789386884.077,42.054,34.516,1.0
14:54:44.116,1789386884.117,42.258,33.082,1.0
14:54:44.156,1789386884.157,41.996,33.332,1.0
14:54:44.196,1789386884.197,41.022,35.73,1.0
14:54:44.236,1789386884.237,41.7,34.796,1.0
14:54:44.276,1789386884.277,42.07,34.96,1.0
14:54:44.316,1789386884.317,41.772,33.692,1.0
14:54:44.356,1789386884.357,42.09,34.05,1.0
14:54:44.396,1789386884.397,41.068,35.06,1.0
14:54:44.436,1789386884.437,42.566,34.378,1.0
14:54:44.476,1789386884.477,40.706,36.404,1.0
14:54:44.516,1789386884.517,42.044,34.004,1.0
14:54:44.556,1789386884.557,41.03,35.16,1.0
14:54:44.596,1789386884.597,41.86,35.074,1.0
14:54:44.636,1789386884.637,41.356,35.65,1.0
14:54:44.676,1789386884.677,41.27,35.684,1.0
14:54:44.716,1789386884.717,42.142,33.558,1.0
14:54:44.756,1789386884.757,41.846,35.552,1.0
14:54:44.796,1789386884.797,42.124,33.884,1.0
14:54:44.836,1789386884.837,41.618,35.866,1.0
14:54:44.876,1789386884.877,42.202,34.374,1.0
14:54:44.916,1789386884.917,41.626,35.858,1.0
14:54:44.956,1789386884.957,40.742,36.676,1.0
14:54:44.996,1789386884.997,41.602,35.824,1.0
14:54:45.036,1789386885.037,41.316,35.844,1.0
14:54:45.076,1789386885.077,42.122,34.754,1.0
14:54:45.116,1789386885.117,41.182,36.62,1.0
14:54:45.156,1789386885.157,42.058,34.372,1.0
14:54:45.196,1789386885.197,41.516,36.716,1.0
14:54:45.236,1789386885.237,41.858,34.534,1.0
14:54:45.276,1789386885.277,41.456,35.54,1.0
14:54:45.316,1789386885.317,42.25,33.962,1.0
14:54:45.356,1789386885.357,42.416,35.314,1.0
14:54:45.396,1789386885.397,41.912,34.552,1.0
14:54:45.436,1789386885.437,41.976,35.586,1.0
14:54:45.476,1789386885.477,41.026,35.776,1.0
14:54:45.516,1789386885.517,42.54,35.024,1.0
14:54:45.556,1789386885.557,40.83,35.746,1.0
14:54:45.596,1789386885.597,42.338,34.53,1.0
14:54:45.636,1789386885.637,41.1,36.206,1.0
14:54:45.676,1789386885.677,42.586,34.22,1.0
14:54:45.716,1789386885.717,40.744,36.13,1.0
14:54:45.756,1789386885.757,42.428,33.966,1.0
14:54:45.796,1789386885.797,41.194,35.924,1.0
14:54:45.836,1789386885.837,42.07,35.078,1.0
14:54:45.876,1789386885.877,41.552,35.486,1.0
14:54:45.916,1789386885.917,41.458,35.456,1.0
14:54:45.956,1789386885.957,42.148,34.454,1.0
14:54:45.996,1789386885.997,41.738,35.882,1.0
14:54:46.036,1789386886.037,41.884,33.992,1.0
