t_to_trip_s,wm_hat_hz,iq,iq_shed
-7.04,44.214,42.178,0.9999
-7.0,43.134,43.29,0.9999
-6.96,43.654,42.432,0.9999
-6.92,44.352,41.592,0.9999
-6.88,43.448,43.348,0.9999
-6.84,44.484,41.286,0.9999
-6.8,45.164,40.664,0.9999
-6.76,44.082,41.49,0.9999
-6.72,44.798,41.592,0.9999
-6.68,45.874,40.3,0.9999
-6.64,45.318,40.676,0.9999
-6.6,43.952,42.446,0.9999
-6.56,44.448,42.446,0.9999
-6.52,43.932,42.54,0.9999
-6.48,43.84,41.326,0.9999
-6.44,43.784,42.53,0.9999
-6.4,44.322,41.402,0.9999
-6.36,42.206,43.862,0.9999
-6.32,43.424,43.71,0.9999
-6.28,44.036,43.064,0.9999
-6.24,43.638,42.786,0.9999
-6.2,44.052,41.854,0.9999
-6.16,44.672,41.552,0.9999
-6.12,44.21,42.194,0.9999
-6.08,43.566,43.658,0.9999
-6.04,44.338,42.398,0.9999
-6.0,44.02,42.178,0.9999
-5.96,43.272,43.882,0.9999
-5.92,43.434,43.296,0.9999
-5.88,43.892,43.084,0.9999
-5.84,43.348,43.03,0.9999
-5.8,44.534,41.032,0.9999
-5.76,45.416,40.438,0.9999
-5.72,44.312,40.836,0.9999
-5.68,44.932,40.512,0.9999
-5.64,45.322,40.014,0.9999
-5.6,44.318,41.66,0.9999
-5.56,43.246,43.292,0.9999
-5.52,43.944,42.684,0.9999
-5.48,44.116,42.212,0.9999
-5.44,43.998,41.616,0.9999
-5.4,43.766,41.292,0.9999
-5.36,44.31,41.33,0.9999
-5.32,42.85,43.262,0.9999
-5.28,43.79,42.114,0.9999
-5.24,44.728,41.924,0.9999
-5.2,43.976,41.924,0.9999
-5.16,43.866,42.234,0.9999
-5.12,44.174,42.508,0.9999
-5.08,43.578,43.932,0.9999
-5.04,43.242,42.682,0.9999
-5.0,44.218,42.006,0.9999
-4.96,44.366,42.61,0.9999
-4.92,43.35,42.818,0.9999
-4.88,42.896,44.626,0.9999
-4.84,43.684,43.75,0.9999
-4.8,42.928,43.592,0.9999
-4.76,43.53,42.666,0.9999
-4.72,45.314,40.832,0.9999
-4.68,44.31,41.254,0.9999
-4.64,44.408,41.494,0.9999
-4.6,45.05,41.454,0.9999
-4.56,44.622,42.148,0.9999
-4.52,43.134,42.896,0.9999
-4.48,44.11,42.98,0.9999
-4.44,44.596,42.274,0.9999
-4.4,43.492,42.598,0.9999
-4.36,43.556,41.94,0.9999
-4.32,44.46,41.38,0.9999
-4.28,44.144,40.758,0.9999
-4.24,44.678,40.194,0.9999
-4.2,46.446,39.834,0.9999
-4.16,42.834,40.934,0.926
-4.12,39.902,40.346,0.8691
-4.08,40.384,38.268,0.8809
-4.04,41.606,37.006,0.8958
-4.0,40.234,38.752,0.9088
-3.96,38.668,20.762,0.4502
-3.92,30.712,20.108,0.4146
-3.88,31.406,19.366,0.4247
-3.84,30.096,19.62,0.4377
-3.8,30.082,18.714,0.4506
-3.76,30.486,15.782,0.4623
-3.72,30.486,18.882,0.4712
-3.68,30.36,19.46,0.4762
-3.64,29.578,20.408,0.4786
-3.6,30.764,16.956,0.4798
-3.56,30.462,19.454,0.4811
-3.52,31.416,17.25,0.4821
-3.48,30.086,19.102,0.4832
-3.44,30.452,19.362,0.4846
-3.4,31.508,17.348,0.4835
-3.36,31.406,18.314,0.4839
-3.32,30.524,19.248,0.4825
-3.28,32.192,16.78,0.4842
-3.24,31.14,18.362,0.4845
-3.2,30.444,20.572,0.4823
-3.16,31.224,18.092,0.4813
-3.12,31.828,16.798,0.483
-3.08,30.932,19.038,0.4845
-3.04,30.71,19.478,0.4834
-3.0,31.902,17.668,0.4814
-2.96,31.54,17.586,0.4812
-2.92,31.09,18.668,0.4818
-2.88,30.688,19.266,0.4834
-2.84,31.374,18.29,0.484
-2.8,31.276,18.406,0.4812
-2.76,30.404,19.148,0.4804
-2.72,31.35,18.984,0.4818
-2.68,31.11,18.724,0.4826
-2.64,30.886,18.876,0.4812
-2.6,30.852,18.624,0.4805
-2.56,30.734,18.982,0.4782
-2.52,31.286,19.362,0.4799
-2.48,30.626,18.802,0.4817
-2.44,30.962,19.28,0.4831
-2.4,30.552,19.658,0.4812
-2.36,31.306,18.686,0.4788
-2.32,30.896,18.386,0.4776
-2.28,30.692,19.006,0.4793
-2.24,31.09,19.16,0.4811
-2.2,30.842,18.134,0.4809
-2.16,30.856,19.544,0.4799
-2.12,30.706,20.038,0.4806
-2.08,31.192,18.176,0.4791
-2.04,30.472,18.75,0.4776
-2.0,30.748,19.758,0.4791
-1.96,31.1,18.61,0.4807
-1.92,30.984,18.532,0.4805
-1.88,30.774,19.082,0.4783
-1.84,30.898,18.998,0.478
-1.8,31.26,18.69,0.4792
-1.76,30.41,18.99,0.4783
-1.72,31.242,18.934,0.4778
-1.68,31.072,18.708,0.4793
-1.64,30.82,18.146,0.4809
-1.6,31.022,18.284,0.4814
-1.56,31.084,19.296,0.4771
-1.52,31.29,18.018,0.4777
-1.48,30.496,18.012,0.4791
-1.44,31.276,19.338,0.4804
-1.4,31.762,17.01,0.48
-1.36,30.718,18.098,0.4786
-1.32,30.578,19.4,0.4786
-1.28,32.03,16.73,0.4792
-1.24,30.85,18.934,0.4804
-1.2,30.512,19.282,0.4781
-1.16,32.09,16.848,0.4769
-1.12,30.638,18.89,0.4783
-1.08,30.908,19.168,0.4795
-1.04,30.816,18.21,0.4775
-1.0,30.956,18.654,0.4748
-0.96,31.004,18.992,0.4766
-0.92,30.532,18.578,0.4788
-0.88,31.058,18.966,0.4803
-0.84,31.166,18.46,0.476
-0.8,30.826,19.092,0.4766
-0.76,30.788,17.726,0.4778
-0.72,31.268,18.544,0.4792
-0.68,31.222,18.974,0.4798
-0.64,31.712,16.576,0.4763
-0.6,30.104,19.978,0.4778
-0.56,31.112,18.002,0.4791
-0.52,31.374,18.262,0.4799
-0.48,29.86,20.496,0.4753
-0.44,31.432,18.156,0.4764
-0.4,30.574,19.246,0.4775
-0.36,30.818,18.272,0.479
-0.32,30.46,19.37,0.4801
-0.28,31.246,18.488,0.4775
-0.24,31.134,17.636,0.4777
-0.2,30.498,19.176,0.4793
-0.16,31.766,16.954,0.4803
-0.12,31.002,18.454,0.478
-0.08,30.946,19.252,0.4754
-0.04,31.27,16.596,0.4764
0.0,30.224,19.89,0.4782
