t_to_trip_s,wm_hat_hz,iq,iq_shed
-2.48,24.736,5.158,0.9994
-2.46,24.178,7.368,0.9994
-2.44,24.372,6.73,0.9995
-2.42,24.134,5.87,0.9995
-2.4,24.078,7.7,0.9995
-2.38,23.916,5.642,0.9996
-2.36,23.986,7.174,0.9996
-2.34,23.55,6.824,0.9996
-2.32,24.422,5.492,0.9996
-2.3,23.286,8.53,0.9997
-2.28,24.068,5.656,0.9997
-2.26,24.174,5.462,0.9997
-2.24,23.894,7.928,0.9997
-2.22,23.1,8.02,0.9997
-2.2,24.076,6.542,0.9997
-2.18,23.724,4.852,0.9998
-2.16,24.406,4.62,0.9998
-2.14,24.188,5.172,0.9998
-2.12,24.07,7.214,0.9998
-2.1,23.346,8.384,0.9998
-2.08,23.648,8.068,0.9998
-2.06,23.194,7.524,0.9998
-2.04,23.872,7.924,0.9998
-2.02,23.26,6.098,0.9998
-2.0,24.298,5.58,0.9998
-1.98,23.942,5.638,0.9998
-1.96,23.976,8.64,0.9998
-1.94,22.88,8.428,0.9999
-1.92,24.326,6.548,0.9999
-1.9,23.792,5.374,0.9999
-1.88,24.11,8.678,0.9999
-1.86,23.374,7.75,0.9999
-1.84,24.764,5.372,0.9999
-1.82,23.646,7.094,0.9999
-1.8,23.568,8.282,0.9999
-1.78,24.048,4.88,0.9999
-1.76,23.646,9.568,0.9999
-1.74,23.932,5.082,0.9999
-1.72,24.21,8.722,0.9999
-1.7,23.934,5.536,0.9999
-1.68,24.178,8.396,0.9999
-1.66,24.404,5.596,0.9999
-1.64,23.988,8.768,0.9999
-1.62,24.984,4.88,0.9999
-1.6,23.746,8.91,0.9999
-1.58,25.424,5.908,0.9999
-1.56,23.792,8.142,0.9999
-1.54,24.47,8.672,0.9999
-1.52,24.85,6.308,0.9999
-1.5,24.786,6.312,0.9999
-1.48,24.176,9.222,0.9999
-1.46,25.092,6.862,0.9999
-1.44,25.094,6.444,0.9999
-1.42,24.42,6.56,0.9999
-1.4,24.476,9.29,0.9999
-1.38,24.382,8.766,0.9999
-1.36,25.198,7.522,0.9999
-1.34,25.352,5.742,0.9999
-1.32,25.272,6.312,0.9999
-1.3,25.23,5.346,0.9999
-1.28,24.562,7.696,0.9999
-1.26,24.694,6.968,0.9999
-1.24,24.65,8.086,0.9999
-1.22,24.488,7.402,0.9999
-1.2,24.722,8.196,0.9999
-1.18,24.514,6.6,0.9999
-1.16,25.516,6.814,0.9999
-1.14,25.156,5.998,0.9999
-1.12,26.404,6.244,0.9999
-1.1,24.9,8.072,0.9999
-1.08,25.584,9.148,0.9999
-1.06,24.79,8.512,0.9999
-1.04,25.94,6.804,0.9999
-1.02,25.5,6.262,0.9999
-1.0,25.948,9.23,0.9999
-0.98,24.45,9.784,0.9999
-0.96,26.052,6.984,0.9999
-0.94,25.318,8.02,0.9999
-0.92,26.076,8.704,0.9999
-0.9,25.732,7.224,0.9999
-0.88,25.9,9.056,0.9999
-0.86,25.408,8.276,0.9999
-0.84,26.798,6.532,0.9999
-0.82,25.398,9.976,0.9999
-0.8,26.654,6.668,0.9999
-0.78,25.484,9.494,0.9999
-0.76,26.628,7.13,0.9999
-0.74,25.564,9.036,0.9999
-0.72,26.122,7.606,0.9999
-0.7,26.02,8.03,0.9999
-0.68,25.746,8.794,0.9999
-0.66,27.078,7.97,0.9999
-0.64,25.29,8.29,0.9999
-0.62,26.366,10.338,0.9999
-0.6,26.606,6.954,0.9999
-0.58,26.708,8.256,0.9999
-0.56,25.754,9.216,0.9999
-0.54,26.388,9.744,0.9999
-0.52,26.946,8.064,0.9999
-0.5,26.976,6.702,0.9999
-0.48,26.706,8.118,0.9999
-0.46,26.23,7.69,0.9999
-0.44,26.29,10.084,0.9999
-0.42,25.864,9.956,0.9999
-0.4,26.614,9.74,0.9999
-0.38,25.948,10.064,0.9999
-0.36,26.83,10.548,0.9999
-0.34,26.674,9.486,0.9999
-0.32,27.048,8.654,0.9999
-0.3,26.31,10.58,0.9999
-0.28,26.442,10.268,0.9999
-0.26,27.142,9.912,0.9999
-0.24,26.856,8.196,0.9999
-0.22,27.33,7.148,0.9999
-0.2,27.218,6.992,0.9999
-0.18,27.296,9.336,0.9999
-0.16,26.176,10.512,0.9999
-0.14,27.138,9.6,0.9999
-0.12,27.182,8.544,0.9999
-0.1,27.32,9.952,0.9999
-0.08,27.072,10.738,0.9999
-0.06,27.202,8.612,0.9999
-0.04,27.516,9.174,0.9999
-0.02,26.818,10.658,0.9999
0.0,27.83,9.004,0.9999
