t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
9.786,12:13:07.995,15.972,0.442,7.057,0.000,0.000,0.000,0.074,0.081,0.115,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.05128205195069313,-0.10256410390138626
9.898,12:13:08.298,15.972,0.442,7.057,0.000,0.000,0.000,0.074,0.081,0.115,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.201,12:13:08.411,15.966,0.418,6.680,0.000,0.000,0.000,0.072,0.084,0.115,5.000,1.000,0.000,5.000,5.000,0.200,32.978,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.313,12:13:08.523,15.977,0.427,6.817,0.000,0.000,0.000,0.078,0.084,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.976,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.425,12:13:08.634,15.977,0.427,6.817,0.000,0.000,0.000,0.078,0.084,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.976,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.537,12:13:08.747,15.977,0.427,6.817,0.000,0.000,0.000,0.078,0.084,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.976,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.649,12:13:08.859,15.977,0.427,6.817,0.000,0.000,0.000,0.078,0.084,0.122,5.000,1.000,0.000,5.000,5.000,0.200,32.976,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.761,12:13:08.971,15.974,0.431,6.880,0.000,0.000,0.000,0.077,0.084,0.121,5.000,1.000,0.000,5.000,5.000,0.200,32.972,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.872,12:13:09.082,15.974,0.431,6.880,0.000,0.000,0.000,0.077,0.084,0.121,5.000,1.000,0.000,5.000,5.000,0.200,32.972,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
10.985,12:13:09.386,15.974,0.431,6.880,0.000,0.000,0.000,0.077,0.084,0.121,5.000,1.000,0.000,5.000,5.000,0.200,32.972,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
